Time,Open,High,Low,Close,Volume,vwap,transactions,otc,Date
08:00:00,1.009,1.0091,1.0044,1.00487,30278,1.0069,30278,,2022-08-19
12:00:00,1.00485,1.00727,1.0033,1.00369,34928,1.0051,34928,,2022-08-19
16:00:00,1.0037,1.00633,1.003,1.004,20231,1.0038,20231,,2022-08-19
20:00:00,1.00403,1.00646,1.00202,1.0038,2556,1.0041,2556,,2022-08-19
04:00:00,1.0036,1.0036,1.0036,1.0036,1,1.0036,1,,2022-08-20
20:00:00,1.0036,1.0036,1.0036,1.0036,2,1.0036,2,,2022-08-21
04:00:00,1.00326,1.00335,0.99994,1.00039,16743,1.002,16743,,2022-08-22
08:00:00,1.00047,1.00182,0.99891,1.00009,32888,1.0006,32888,,2022-08-22
12:00:00,1.00009,1.00088,0.9927,0.99347,32906,0.9977,32906,,2022-08-22
16:00:00,0.99346,0.99495,0.9925,0.99428,20253,0.9936,20253,,2022-08-22
20:00:00,0.99428,1.00351,0.9932,0.99382,10202,0.9941,10202,,2022-08-22
00:00:00,0.99381,0.99502,0.9929,0.99419,24795,0.9941,24795,,2022-08-23
04:00:00,0.99421,0.99497,0.99,0.9933,31006,0.9923,31006,,2022-08-23
08:00:00,0.99333,1.00346,0.9912,0.99246,30645,0.9928,30645,,2022-08-23
12:00:00,0.9924,1.00342,0.9913,0.99734,44314,0.9967,44314,,2022-08-23
16:00:00,0.99735,0.99802,0.9958,0.99688,23092,0.9968,23092,,2022-08-23
20:00:00,0.99685,0.99735,0.99332,0.99664,9862,0.9968,9862,,2022-08-23
00:00:00,0.99664,1.00096,0.99243,0.99476,22418,0.9952,22418,,2022-08-24
04:00:00,0.99474,1.0,0.9934,0.99535,23858,0.995,23858,,2022-08-24
08:00:00,0.99534,0.99584,0.9916,0.99268,30146,0.994,30146,,2022-08-24
12:00:00,0.99269,0.99991,0.9909,0.99669,43155,0.9942,43155,,2022-08-24
16:00:00,0.99665,0.99755,0.9944,0.99716,22844,0.9961,22844,,2022-08-24
20:00:00,0.99713,0.99734,0.994,0.9967,10243,0.9968,10243,,2022-08-24
00:00:00,0.99678,0.99928,0.9961,0.99861,22705,0.9984,22705,,2022-08-25
04:00:00,0.99863,1.00335,0.9984,0.99998,34844,1.0005,34844,,2022-08-25
08:00:00,0.99999,1.00121,0.9971,0.9975,36243,0.9993,36243,,2022-08-25
12:00:00,0.99764,1.00006,0.9954,0.99568,44653,0.9972,44653,,2022-08-25
16:00:00,0.9957,0.99786,0.99486,0.99768,24558,0.9966,24558,,2022-08-25
20:00:00,0.99768,0.9979,0.9967,0.99702,14510,0.9974,14510,,2022-08-25
00:00:00,0.99703,0.9975,0.9961,0.99707,21221,0.9968,21221,,2022-08-26
04:00:00,0.99698,0.99716,0.9958,0.99619,10561,0.9965,10561,,2022-08-26
08:00:00,0.9971,1.00235,0.9969,0.9995,27419,0.9999,27419,,2022-08-26
12:00:00,0.99966,1.00893,0.99839,0.99969,62080,1.003,62080,,2022-08-26
16:00:00,0.9998,1.00029,0.9955,0.99652,31892,0.9974,31892,,2022-08-26
20:00:00,0.99654,0.99692,0.99502,0.9963,3029,0.9966,3029,,2022-08-26
04:00:00,0.9964,0.9964,0.9964,0.9964,1,0.9964,1,,2022-08-27
16:00:00,0.99794,0.99854,0.99744,0.99744,23,0.9981,23,,2022-08-28
20:00:00,0.99767,0.9977,0.9934,0.99358,7504,0.9947,7504,,2022-08-28
00:00:00,0.99358,0.99451,0.9917,0.99238,31175,0.993,31175,,2022-08-29
04:00:00,0.9923,0.99505,0.9913,0.9941,34166,0.9931,34166,,2022-08-29
08:00:00,0.9943,1.0,0.9919,0.99976,37276,0.9962,37276,,2022-08-29
12:00:00,0.99966,1.00288,0.998,0.99974,47035,1.0004,47035,,2022-08-29
16:00:00,0.99982,1.00227,0.9988,0.99958,28304,1.0002,28304,,2022-08-29
20:00:00,0.99954,1.0012,0.99891,1.00106,10751,0.9999,10751,,2022-08-29
00:00:00,1.00105,1.00135,0.9981,0.99982,26980,0.9996,26980,,2022-08-30
04:00:00,0.99981,1.0034,0.9981,1.0029,34106,1.0002,34106,,2022-08-30
08:00:00,1.00285,1.00547,1.0016,1.00244,38871,1.0032,38871,,2022-08-30
12:00:00,1.00252,1.00413,0.9982,1.0016,53664,1.0015,53664,,2022-08-30
16:00:00,1.00178,1.00351,1.0009,1.0016,36366,1.0023,36366,,2022-08-30
20:00:00,1.00174,1.0026,1.00107,1.00234,10418,1.0019,10418,,2022-08-30
00:00:00,1.00234,1.0035,1.0015,1.003,24546,1.0026,24546,,2022-08-31
04:00:00,1.00322,1.0046,0.9998,1.00014,31019,1.0026,31019,,2022-08-31
08:00:00,1.00014,1.00268,0.997,1.00013,43122,0.9991,43122,,2022-08-31
12:00:00,1.00013,1.0079,0.9981,1.00627,53876,1.0026,53876,,2022-08-31
16:00:00,1.0067,1.007,1.0034,1.00488,34688,1.005,34688,,2022-08-31
20:00:00,1.00488,1.0056,1.0034,1.00379,14803,1.0048,14803,,2022-08-31
00:00:00,1.00379,1.0038,1.001,1.00161,26396,1.0025,26396,,2022-09-01
04:00:00,1.0016,1.0033,1.0006,1.00298,33757,1.0018,33757,,2022-09-01
08:00:00,1.00293,1.00485,1.0,1.00039,39765,1.0024,39765,,2022-09-01
12:00:00,1.0004,1.00069,0.99109,0.99484,54859,0.9962,54859,,2022-09-01
